10:42:01.585 [main] INFO  com.info5100.travel.TravelApplication - Starting TravelApplication using Java 11.0.12 on melodydeMacBook-Air.local with PID 47711 (/Users/melody/Desktop/INFO5100FINAL/travel/target/classes started by melody in /Users/melody/Desktop/INFO5100FINAL/travel)
10:42:01.587 [main] INFO  com.info5100.travel.TravelApplication - No active profile set, falling back to 1 default profile: "default"
10:42:03.316 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
10:42:03.325 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
10:42:03.325 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
10:42:03.326 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.73]
10:42:03.453 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:42:03.455 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1808 ms
10:42:05.621 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7019d619, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a5c6b76, org.springframework.security.web.context.SecurityContextPersistenceFilter@10b87ff6, org.springframework.security.web.header.HeaderWriterFilter@79b63325, org.springframework.web.filter.CorsFilter@ff1f465, org.springframework.security.web.authentication.logout.LogoutFilter@17354708, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1aed6f0b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@733fae8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6caa4dc5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d88ce0e, org.springframework.security.web.session.SessionManagementFilter@32e830a0, org.springframework.security.web.access.ExceptionTranslationFilter@1e477944, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d6778d5]
10:42:05.687 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
10:42:05.707 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
10:42:05.720 [main] INFO  com.info5100.travel.TravelApplication - Started TravelApplication in 5.025 seconds (JVM running for 5.974)
10:42:24.860 [http-nio-80-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:42:24.862 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
10:42:24.866 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
